0xad7e41 URDI_WRONG_SNARF_READ
0xa9fced UnencodedCategory
0xa2b7ff UnimplementedPrecision
0xaceb19 UninitializedPacker
0x89bf91 UnknownCookbook
0x26a817 UnrecognizedPrecision
0x2b0ccf VIEWS_STILL_OPEN
0xb4593f ValueOutOfRange
0x21b10b WAS_NULL
0xf04db6 WILL_NOT_IMPLEMENT
0x0de5fc WRITE_HANDLES_HELD_WHILE_ABORTING
0x572024 WRONG_SERVERLOOP
0x6a9605 We_can_only_dismantle_the_canopy_from_the_root_on_up_
0x41c63f WhoSays
0x233507 WorkIsLockedBySomeoneElse
0x96db7a WorkMustBeGrabbed
0x581515 WrongCharacter
0x2d927c WrongCoordSpace
0xef773a ZERO_SIZE_IN_VALIDALLOCTHINGE
0xbb4bf5 ZeroSequence
0x116480 argProblemName
0x9e39a2 gripe
0x4e3320 invalid_request
0x52748a outOfDomain
0x0372f8 shouldnt_get_here_
0x580248 unrelated_bertCrums___Call_dean_
